Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Đống Đa,Nhà riêng,82.0,25.8,6,6
Ba Đình,Nhà mặt phố,46.0,16.1,7,4
Hà Đông,Căn hộ chung cư,128.0,5.0,3,2
Thanh Xuân,Căn hộ chung cư,103.0,5.5,3,2
Hai Bà Trưng,Nhà riêng,33.0,4.85,3,4
Nam Từ Liêm,Căn hộ chung cư,54.0,2.65,2,2
Hà Đông,Nhà riêng,34.0,2.55,3,3
Tây Hồ,Nhà mặt phố,101.0,39.0,10,10
Nam Từ Liêm,Căn hộ chung cư,54.0,2.65,2,2
Hà Đông,Nhà riêng,33.0,6.2,3,4
Nam Từ Liêm,Căn hộ chung cư,73.0,4.95,2,2
Hoài Đức,Căn hộ chung cư,70.0,2.45,2,2
Long Biên,Nhà mặt phố,120.0,37.0,10,10
Quốc Oai,Nhà riêng,45.0,1.76,3,3
Bắc Từ Liêm,Nhà riêng,40.0,7.2,3,3
Hoàng Mai,Nhà riêng,30.0,3.89,3,4
Thanh Xuân,Nhà riêng,90.0,13.9,26,27
Thanh Xuân,Căn hộ chung cư,98.0,4.21,2,2
Đống Đa,Căn hộ chung cư,37.0,2.7,1,1
Hoàng Mai,Nhà riêng,33.0,4.4,4,3
Đống Đa,Nhà riêng,58.0,14.5,14,16
Thanh Xuân,Nhà riêng,70.0,12.67,4,4
Quốc Oai,Nhà riêng,41.0,2.2,3,2
Hà Đông,Căn hộ chung cư,92.0,4.72,2,2
Hoài Đức,Căn hộ chung cư,68.0,2.65,2,2
Hoàng Mai,Căn hộ chung cư,83.0,2.75,3,2
Thanh Trì,Nhà riêng,45.0,6.95,13,13
Đống Đa,Nhà mặt phố,88.0,29.5,6,5
Thanh Xuân,Nhà mặt phố,89.0,29.3,8,4
Cầu Giấy,Nhà riêng,50.0,19.6,5,7
Thanh Xuân,Căn hộ chung cư,104.0,8.5,3,2
Tây Hồ,Căn hộ chung cư,128.0,10.6,3,2
Long Biên,Nhà riêng,68.0,7.48,6,3
Tây Hồ,Căn hộ chung cư,34.0,2.3,1,1
Nam Từ Liêm,Căn hộ chung cư,54.0,2.81,3,2
Ba Đình,Căn hộ chung cư,120.0,8.6,3,2
Đống Đa,Căn hộ chung cư,86.0,6.4,2,2
Cầu Giấy,Nhà mặt phố,520.0,250.0,105,110
Long Biên,Nhà riêng,82.0,18.4,6,8
Thanh Xuân,Căn hộ chung cư,104.0,4.47,3,2
Cầu Giấy,Căn hộ chung cư,112.0,5.2,3,2
Thanh Xuân,Căn hộ chung cư,74.0,5.6,2,2
Thanh Xuân,Căn hộ chung cư,161.0,12.0,4,3
Thanh Xuân,Căn hộ chung cư,71.0,4.9,2,2
Bắc Từ Liêm,Căn hộ chung cư,109.0,3.98,3,2
Nam Từ Liêm,Căn hộ chung cư,70.0,3.8,2,2
Hà Đông,Căn hộ chung cư,74.0,3.5,2,2
Thanh Xuân,Căn hộ chung cư,110.0,4.0,3,2
Hoàng Mai,Nhà riêng,55.0,7.96,6,4
Hoàng Mai,Nhà riêng,48.0,4.35,4,3
Hoàng Mai,Nhà riêng,45.0,5.25,4,3
Thanh Xuân,Nhà riêng,86.0,16.8,24,24
Thanh Xuân,Căn hộ chung cư,82.0,4.1,2,2
Hoàng Mai,Nhà riêng,59.0,6.8,3,2
Cầu Giấy,Căn hộ chung cư,138.0,7.18,3,2
Long Biên,Nhà riêng,38.0,4.1,4,3
Bắc Từ Liêm,Nhà riêng,132.0,18.0,35,35
Nam Từ Liêm,Căn hộ chung cư,26.0,1.8,1,1
Bắc Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2
Cầu Giấy,Căn hộ chung cư,63.0,4.66,2,1
Cầu Giấy,Nhà mặt phố,46.0,25.0,8,8
Long Biên,Nhà riêng,30.0,3.5,3,4
Cầu Giấy,Căn hộ chung cư,77.0,5.85,2,2
Long Biên,Nhà mặt phố,84.0,18.9,1,1
Long Biên,Nhà riêng,91.0,14.0,5,6
Đống Đa,Nhà riêng,65.0,18.0,20,20
Ba Đình,Nhà mặt phố,47.0,29.5,3,3
Đống Đa,Nhà mặt phố,49.0,32.5,5,5
Bắc Từ Liêm,Căn hộ chung cư,47.0,2.26,2,2
Bắc Từ Liêm,Căn hộ chung cư,135.0,8.2,3,2
Hoàn Kiếm,Nhà riêng,70.0,29.0,6,5
Nam Từ Liêm,Căn hộ chung cư,62.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,43.0,3.01,1,1
Thanh Xuân,Căn hộ chung cư,90.0,5.67,2,2
Thanh Xuân,Nhà mặt phố,75.0,21.0,2,2
Bắc Từ Liêm,Căn hộ chung cư,83.0,5.3,3,2
Hoàng Mai,Căn hộ chung cư,78.0,4.29,3,2
Cầu Giấy,Căn hộ chung cư,120.0,9.0,3,2
Hà Đông,Căn hộ chung cư,102.0,3.3,3,2
Thanh Xuân,Căn hộ chung cư,82.0,4.0,2,2
Thanh Xuân,Căn hộ chung cư,116.0,5.25,3,2
Đống Đa,Nhà mặt phố,135.0,35.0,5,3
Hoàng Mai,Nhà riêng,100.0,21.0,25,30
Hoàng Mai,Căn hộ chung cư,72.0,3.15,2,2
