Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Hà Đông,Căn hộ chung cư,74.0,3.84,2,2
Hà Đông,Căn hộ chung cư,77.0,2.86,2,2
Cầu Giấy,Căn hộ chung cư,130.0,6.8,3,2
Nam Từ Liêm,Căn hộ chung cư,150.0,7.6,3,2
Cầu Giấy,Nhà mặt phố,80.0,40.0,21,21
Cầu Giấy,Căn hộ chung cư,110.0,5.2,3,2
Nam Từ Liêm,Căn hộ chung cư,105.0,5.3,3,2
Đống Đa,Căn hộ chung cư,30.0,650.0,1,1
Cầu Giấy,Căn hộ chung cư,110.0,7.2,3,2
Hai Bà Trưng,Nhà riêng,52.0,11.8,6,4
Cầu Giấy,Căn hộ chung cư,85.0,5.7,2,2
Tây Hồ,Nhà riêng,65.0,9.0,4,5
Đống Đa,Nhà riêng,114.0,21.2,4,4
Nam Từ Liêm,Căn hộ chung cư,70.0,3.2,2,2
Nam Từ Liêm,Căn hộ chung cư,131.0,5.0,3,3
Cầu Giấy,Căn hộ chung cư,60.0,4.0,1,1
Hà Đông,Căn hộ chung cư,91.0,6.5,3,2
Cầu Giấy,Căn hộ chung cư,134.0,8.0,4,3
Long Biên,Nhà riêng,102.0,12.2,4,3
Đống Đa,Nhà riêng,39.0,6.3,3,3
Cầu Giấy,Căn hộ chung cư,98.0,5.5,3,2
Hà Đông,Nhà mặt phố,65.0,10.6,3,4
Nam Từ Liêm,Căn hộ chung cư,70.0,3.5,2,2
Hà Đông,Căn hộ chung cư,112.0,4.55,3,2
Nam Từ Liêm,Nhà riêng,45.0,4.5,5,3
Nam Từ Liêm,Căn hộ chung cư,98.0,4.85,3,2
Cầu Giấy,Căn hộ chung cư,79.0,5.2,2,2
Cầu Giấy,Nhà riêng,75.0,18.6,7,5
Ba Đình,Căn hộ chung cư,113.0,6.9,2,2
Cầu Giấy,Căn hộ chung cư,115.0,6.4,3,2
Nam Từ Liêm,Nhà riêng,120.0,37.0,22,22
Cầu Giấy,Nhà riêng,67.0,10.5,4,4
Thanh Xuân,Nhà riêng,57.0,13.8,11,11
Thanh Xuân,Nhà riêng,71.0,11.5,4,4
Nam Từ Liêm,Căn hộ chung cư,95.0,4.5,3,2
Thanh Xuân,Căn hộ chung cư,64.0,3.2,2,1
Bắc Từ Liêm,Căn hộ chung cư,100.0,4.95,3,2
Cầu Giấy,Căn hộ chung cư,120.0,7.5,3,2
Ba Đình,Nhà riêng,32.0,5.9,3,4
Nam Từ Liêm,Căn hộ chung cư,70.0,3.6,2,2
Hà Đông,Nhà riêng,33.0,3.6,4,4
Cầu Giấy,Căn hộ chung cư,127.0,7.0,3,2
Cầu Giấy,Căn hộ chung cư,77.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,192.0,10.5,4,3
Long Biên,Căn hộ chung cư,170.0,10.5,3,4
Cầu Giấy,Căn hộ chung cư,104.0,5.72,3,2
Cầu Giấy,Căn hộ chung cư,151.0,8.2,4,3
Cầu Giấy,Căn hộ chung cư,76.0,4.4,2,2
Tây Hồ,Căn hộ chung cư,34.0,2.38,1,1
Hoàn Kiếm,Nhà mặt phố,42.0,9.4,4,4
Cầu Giấy,Nhà riêng,47.0,10.8,6,4
Hà Đông,Căn hộ chung cư,100.0,3.3,3,2
Thanh Xuân,Căn hộ chung cư,118.0,4.6,3,2
Cầu Giấy,Căn hộ chung cư,91.0,4.0,2,2
Thanh Trì,Nhà riêng,55.0,13.9,18,18
Hà Đông,Nhà riêng,36.0,5.95,4,4
Ba Đình,Nhà riêng,70.0,21.0,5,4
Nam Từ Liêm,Căn hộ chung cư,100.0,4.55,3,2
Tây Hồ,Nhà riêng,82.0,14.8,4,4
Thanh Xuân,Căn hộ chung cư,70.0,4.2,2,2
Hà Đông,Nhà riêng,50.0,10.8,4,4
Hà Đông,Nhà mặt phố,58.0,16.0,4,4
Hai Bà Trưng,Nhà riêng,60.0,11.9,17,17
Nam Từ Liêm,Nhà riêng,216.0,39.0,70,75
Hà Đông,Căn hộ chung cư,118.0,4.75,3,2
Thanh Xuân,Nhà mặt phố,73.0,37.0,8,8
Hà Đông,Căn hộ chung cư,136.0,4.8,4,3
Thanh Xuân,Căn hộ chung cư,90.0,4.0,3,2
Hà Đông,Nhà riêng,44.0,7.2,3,3
Nam Từ Liêm,Căn hộ chung cư,64.0,2.8,2,2
Bắc Từ Liêm,Nhà mặt phố,550.0,194.5,3,3
Bắc Từ Liêm,Nhà riêng,125.0,22.8,6,4
Hai Bà Trưng,Nhà riêng,83.0,11.5,8,8
Long Biên,Nhà riêng,40.0,6.5,4,3
Nam Từ Liêm,Căn hộ chung cư,110.0,3.99,3,2
Hoàng Mai,Căn hộ chung cư,64.0,2.9,2,2
Thanh Xuân,Nhà riêng,112.0,23.5,4,4
Cầu Giấy,Căn hộ chung cư,138.0,7.0,3,2
Nam Từ Liêm,Nhà riêng,30.0,5.85,3,4
Nam Từ Liêm,Căn hộ chung cư,78.0,3.45,2,2
Đống Đa,Nhà riêng,90.0,25.0,5,5
Cầu Giấy,Căn hộ chung cư,140.0,7.28,3,2
Bắc Từ Liêm,Căn hộ chung cư,81.0,4.5,2,2
Nam Từ Liêm,Căn hộ chung cư,114.0,4.0,3,2
Long Biên,Căn hộ chung cư,77.0,3.9,2,2
Cầu Giấy,Nhà riêng,48.0,9.2,4,5
Đống Đa,Nhà riêng,53.0,12.6,6,4
Bắc Từ Liêm,Nhà riêng,35.0,4.55,3,4
Cầu Giấy,Căn hộ chung cư,100.0,4.5,3,2
Cầu Giấy,Nhà mặt phố,145.0,70.0,6,4
Cầu Giấy,Nhà mặt phố,105.0,36.0,8,5
Nam Từ Liêm,Nhà riêng,39.0,7.8,11,11
Cầu Giấy,Nhà riêng,62.0,19.5,10,6
Tây Hồ,Căn hộ chung cư,142.0,11.0,3,2
Cầu Giấy,Căn hộ chung cư,50.0,2.8,2,1
Đống Đa,Nhà mặt phố,250.0,120.0,8,8
Thanh Trì,Căn hộ chung cư,56.0,1.8,2,2
Cầu Giấy,Căn hộ chung cư,110.0,5.5,2,2
Tây Hồ,Nhà riêng,45.0,10.5,4,4
Cầu Giấy,Căn hộ chung cư,70.0,3.5,2,2
Đống Đa,Nhà riêng,33.0,4.7,4,3
Tây Hồ,Nhà riêng,36.0,8.0,1,1
Nam Từ Liêm,Căn hộ chung cư,43.0,2.2,1,1
Hà Đông,Căn hộ chung cư,90.0,4.5,3,2
Ba Đình,Căn hộ chung cư,75.0,4.65,3,2
Cầu Giấy,Nhà riêng,60.0,9.8,4,4
Cầu Giấy,Căn hộ chung cư,90.0,5.0,2,2
Hai Bà Trưng,Nhà riêng,35.0,7.65,3,4
Long Biên,Căn hộ chung cư,112.0,5.1,3,2
Nam Từ Liêm,Căn hộ chung cư,25.0,1.68,1,1
Hoàn Kiếm,Căn hộ chung cư,72.0,4.0,1,1
Cầu Giấy,Căn hộ chung cư,122.0,8.0,3,2
Cầu Giấy,Nhà riêng,103.0,17.3,26,26
Long Biên,Nhà riêng,51.0,9.15,5,4
Thanh Xuân,Căn hộ chung cư,60.0,3.45,3,2
Hoàn Kiếm,Nhà mặt phố,31.0,17.2,5,5
Thanh Xuân,Nhà riêng,44.0,7.2,6,4
Bắc Từ Liêm,Nhà riêng,59.0,9.19,3,3
Gia Lâm,Căn hộ chung cư,32.0,1.45,1,1
Hoàng Mai,Căn hộ chung cư,90.0,2.7,3,2
Cầu Giấy,Căn hộ chung cư,100.0,5.5,3,2
Nam Từ Liêm,Căn hộ chung cư,94.0,6.0,3,2
Cầu Giấy,Nhà riêng,70.0,11.89,18,18
Hà Đông,Nhà mặt phố,130.0,33.0,6,6
Thanh Trì,Nhà riêng,81.0,14.99,24,24
Hà Đông,Căn hộ chung cư,90.0,5.1,3,2
Cầu Giấy,Nhà riêng,33.0,5.6,3,4
Nam Từ Liêm,Nhà riêng,40.0,6.85,4,5
Nam Từ Liêm,Căn hộ chung cư,116.0,4.9,3,2
Hà Đông,Căn hộ chung cư,135.0,5.4,3,2
Hoàng Mai,Nhà riêng,131.0,31.3,6,9
Hoàng Mai,Căn hộ chung cư,58.0,2.88,2,2
Nam Từ Liêm,Căn hộ chung cư,105.0,4.2,3,2
Hai Bà Trưng,Căn hộ chung cư,88.0,4.65,3,2
Hà Đông,Căn hộ chung cư,66.0,2.15,2,2
Hai Bà Trưng,Căn hộ chung cư,97.0,7.25,2,2
Hoàng Mai,Căn hộ chung cư,79.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,100.0,4.8,2,2
Hoàng Mai,Căn hộ chung cư,52.0,1.82,2,1
Cầu Giấy,Nhà riêng,200.0,60.0,46,46
Hoàn Kiếm,Nhà mặt phố,180.0,190.0,30,30
Hoài Đức,Căn hộ chung cư,93.0,3.4,3,2
Nam Từ Liêm,Nhà riêng,38.0,5.85,4,4
Hà Đông,Căn hộ chung cư,116.0,3.95,3,2
Đống Đa,Nhà riêng,42.0,7.2,4,5
Nam Từ Liêm,Căn hộ chung cư,75.0,3.7,2,2
Đống Đa,Nhà riêng,43.0,12.8,6,3
Nam Từ Liêm,Nhà riêng,45.0,6.95,6,4
Thanh Xuân,Nhà riêng,46.0,9.6,5,4
Đống Đa,Nhà riêng,91.0,14.5,8,8
Hoàng Mai,Nhà riêng,50.0,8.5,4,4
Cầu Giấy,Căn hộ chung cư,107.0,6.85,2,2
Tây Hồ,Nhà mặt phố,400.0,48.5,3,3
Nam Từ Liêm,Căn hộ chung cư,83.0,3.55,3,2
Đống Đa,Nhà riêng,33.0,5.2,4,4
Tây Hồ,Nhà mặt phố,140.0,33.5,13,13
Cầu Giấy,Căn hộ chung cư,70.0,5.0,2,2
Nam Từ Liêm,Căn hộ chung cư,80.0,4.8,2,2
Cầu Giấy,Nhà riêng,55.0,12.8,2,2
Nam Từ Liêm,Nhà riêng,121.0,39.5,51,51
Đống Đa,Nhà riêng,24.0,3.65,3,4
Long Biên,Căn hộ chung cư,84.0,4.1,3,2
Hà Đông,Nhà riêng,30.0,2.7,3,3
Hoàng Mai,Căn hộ chung cư,60.0,2.65,2,2
Tây Hồ,Nhà riêng,65.0,17.9,4,4
Thanh Xuân,Căn hộ chung cư,52.0,1.3,2,2
Cầu Giấy,Nhà riêng,60.0,14.5,5,5
Cầu Giấy,Nhà riêng,61.0,10.75,4,4
Long Biên,Căn hộ chung cư,126.0,3.05,3,2
Hà Đông,Căn hộ chung cư,95.0,4.6,3,2
Nam Từ Liêm,Căn hộ chung cư,105.0,7.56,3,2
Đống Đa,Nhà riêng,100.0,34.0,7,7
Nam Từ Liêm,Nhà riêng,42.0,4.65,5,4
Bắc Từ Liêm,Nhà riêng,33.0,3.68,3,4
Nam Từ Liêm,Căn hộ chung cư,57.0,3.1,2,1
Tây Hồ,Nhà mặt phố,226.0,150.0,10,10
Gia Lâm,Căn hộ chung cư,48.0,2.3,2,1
Hai Bà Trưng,Căn hộ chung cư,50.0,2.0,2,1
Thanh Xuân,Căn hộ chung cư,90.0,5.34,3,2
Đống Đa,Căn hộ chung cư,50.0,1.88,2,1
Bắc Từ Liêm,Căn hộ chung cư,70.0,3.7,2,2
Hai Bà Trưng,Căn hộ chung cư,55.0,2.4,2,2
Hoàng Mai,Căn hộ chung cư,63.0,2.6,2,2
Cầu Giấy,Căn hộ chung cư,100.0,5.0,2,2
Nam Từ Liêm,Căn hộ chung cư,89.0,4.95,3,2
Hà Đông,Căn hộ chung cư,56.0,2.35,2,1
Cầu Giấy,Nhà riêng,40.0,6.0,6,4
Hà Đông,Nhà riêng,34.0,3.3,4,3
Hoàng Mai,Căn hộ chung cư,70.0,1.8,2,1
Nam Từ Liêm,Nhà riêng,35.0,3.85,3,4
Hoàng Mai,Căn hộ chung cư,69.0,2.65,2,2
Bắc Từ Liêm,Căn hộ chung cư,70.0,2.68,2,1
Thanh Xuân,Căn hộ chung cư,110.0,5.0,3,2
Hoàng Mai,Căn hộ chung cư,70.0,2.41,2,2
Hoàng Mai,Căn hộ chung cư,79.0,3.18,2,2
Hoàng Mai,Căn hộ chung cư,92.0,3.69,3,2
Bắc Từ Liêm,Căn hộ chung cư,56.0,2.38,2,2
Thanh Xuân,Nhà riêng,40.0,6.6,4,4
Hoàng Mai,Căn hộ chung cư,80.0,3.1,2,2
Cầu Giấy,Nhà riêng,97.0,15.5,14,14
Ba Đình,Nhà riêng,45.0,6.78,6,4
Cầu Giấy,Căn hộ chung cư,87.0,4.4,2,2
Cầu Giấy,Nhà riêng,75.0,26.0,5,5
Cầu Giấy,Căn hộ chung cư,105.0,6.0,3,2
Nam Từ Liêm,Căn hộ chung cư,110.0,7.0,3,2
Tây Hồ,Căn hộ chung cư,94.0,8.5,3,2
Cầu Giấy,Căn hộ chung cư,95.0,4.99,3,2
Cầu Giấy,Căn hộ chung cư,108.0,4.21,3,2
Nam Từ Liêm,Căn hộ chung cư,80.0,4.2,2,2
Hà Đông,Căn hộ chung cư,65.0,2.95,2,2
Hai Bà Trưng,Căn hộ chung cư,104.0,7.0,3,2
Nam Từ Liêm,Căn hộ chung cư,132.0,12.0,4,3
Nam Từ Liêm,Căn hộ chung cư,138.0,11.0,4,3
Hai Bà Trưng,Căn hộ chung cư,87.0,5.78,2,2
Long Biên,Nhà mặt phố,55.0,17.49,3,4
Tây Hồ,Nhà riêng,35.0,4.25,3,4
Hai Bà Trưng,Căn hộ chung cư,105.0,8.5,3,2
Hà Đông,Căn hộ chung cư,70.0,3.75,2,2
Hai Bà Trưng,Căn hộ chung cư,95.0,6.5,3,2
Hà Đông,Căn hộ chung cư,72.0,2.95,2,2
Long Biên,Căn hộ chung cư,140.0,6.0,4,4
Hai Bà Trưng,Nhà mặt phố,80.0,19.0,5,5
Hai Bà Trưng,Căn hộ chung cư,90.0,6.5,3,2
Hà Đông,Nhà mặt phố,90.0,42.5,3,4
Nam Từ Liêm,Nhà riêng,46.0,4.8,3,4
Ba Đình,Căn hộ chung cư,120.0,12.0,3,2
Hà Đông,Căn hộ chung cư,92.0,4.8,3,2
Hà Đông,Căn hộ chung cư,65.0,2.95,2,2
Hà Đông,Căn hộ chung cư,90.0,3.3,3,2
Hà Đông,Căn hộ chung cư,97.0,3.9,3,2
Tây Hồ,Nhà mặt phố,65.0,37.7,5,6
Nam Từ Liêm,Căn hộ chung cư,98.0,7.0,3,2
Bắc Từ Liêm,Nhà riêng,60.0,6.45,4,4
Tây Hồ,Căn hộ chung cư,91.0,6.0,1,2
Hà Đông,Căn hộ chung cư,58.0,2.0,2,1
Tây Hồ,Nhà riêng,55.0,10.3,8,6
Tây Hồ,Căn hộ chung cư,76.0,4.2,2,2
Nam Từ Liêm,Nhà riêng,112.0,12.0,3,3
Tây Hồ,Căn hộ chung cư,84.0,4.9,3,2
Đống Đa,Nhà riêng,58.0,10.0,4,4
Hai Bà Trưng,Căn hộ chung cư,86.0,5.2,2,2
Cầu Giấy,Căn hộ chung cư,75.0,5.0,2,2
Nam Từ Liêm,Căn hộ chung cư,136.0,6.8,4,2
Tây Hồ,Căn hộ chung cư,93.0,5.2,3,2
Thanh Xuân,Nhà riêng,53.0,7.9,9,9
Bắc Từ Liêm,Nhà riêng,40.0,4.2,3,3
Thanh Xuân,Nhà riêng,35.0,6.5,4,4
Hai Bà Trưng,Căn hộ chung cư,80.0,5.5,2,2
Nam Từ Liêm,Căn hộ chung cư,82.0,5.1,3,2
Hai Bà Trưng,Căn hộ chung cư,75.0,4.99,2,2
Hoàng Mai,Nhà riêng,33.0,4.95,5,3
Hà Đông,Nhà mặt phố,33.0,10.0,3,4
Hoàng Mai,Nhà riêng,268.0,33.0,2,2
Hai Bà Trưng,Căn hộ chung cư,83.0,5.4,2,2
Hà Đông,Nhà riêng,44.0,5.6,5,4
Hà Đông,Căn hộ chung cư,68.0,2.5,2,2
Thanh Xuân,Nhà riêng,35.0,5.3,3,4
Hà Đông,Căn hộ chung cư,105.0,5.6,3,2
Cầu Giấy,Nhà riêng,38.0,5.5,3,4
Hà Đông,Căn hộ chung cư,139.0,7.0,3,2
Thanh Trì,Nhà riêng,41.0,4.8,6,4
Thanh Xuân,Nhà riêng,35.0,6.8,4,4
Ba Đình,Nhà mặt phố,600.0,135.0,5,5
Hà Đông,Nhà riêng,40.0,4.65,4,4
Long Biên,Căn hộ chung cư,101.0,4.95,3,2
Ba Đình,Nhà riêng,160.0,38.0,5,5
Thanh Xuân,Nhà riêng,42.0,10.5,4,4
Thanh Trì,Nhà riêng,40.0,3.95,4,3
Cầu Giấy,Căn hộ chung cư,65.0,3.8,2,2
Long Biên,Nhà riêng,114.0,22.0,9,9
Thanh Xuân,Nhà riêng,31.0,6.3,3,4
Cầu Giấy,Nhà riêng,38.0,5.5,3,4
Thanh Xuân,Nhà riêng,40.0,5.8,6,5
Hà Đông,Nhà riêng,34.0,3.35,3,4
Hoàng Mai,Nhà riêng,38.0,4.2,4,3
Nam Từ Liêm,Căn hộ chung cư,50.0,2.1,2,1
Tây Hồ,Căn hộ chung cư,50.0,1.28,2,1
Hà Đông,Nhà riêng,34.0,4.2,3,3
Thanh Xuân,Nhà riêng,45.0,6.2,4,4
Nam Từ Liêm,Nhà riêng,42.0,7.7,11,11
Hà Đông,Nhà riêng,35.0,5.03,4,3
Thanh Xuân,Căn hộ chung cư,59.0,800.0,2,2
Nam Từ Liêm,Căn hộ chung cư,114.0,7.9,3,2
Hà Đông,Nhà riêng,38.0,3.93,4,4
Nam Từ Liêm,Căn hộ chung cư,87.0,5.6,2,2
Đống Đa,Nhà riêng,25.0,6.8,3,5
Nam Từ Liêm,Nhà riêng,47.0,9.5,11,11
Ba Đình,Nhà riêng,33.0,5.9,3,4
Hoài Đức,Nhà riêng,34.0,3.2,4,4
Ba Đình,Căn hộ chung cư,66.0,5.7,2,2
Cầu Giấy,Căn hộ chung cư,80.0,3.5,2,2
Đống Đa,Nhà riêng,65.0,15.3,5,6
Thanh Xuân,Nhà riêng,38.0,4.0,4,3
Đống Đa,Nhà riêng,42.0,10.8,5,5
Nam Từ Liêm,Căn hộ chung cư,78.0,4.3,2,2
Hà Đông,Nhà riêng,63.0,9.0,4,3
Long Biên,Nhà riêng,32.0,3.95,3,4
Nam Từ Liêm,Nhà riêng,33.0,3.68,4,4
Hai Bà Trưng,Căn hộ chung cư,90.0,5.8,2,2
Hoàng Mai,Nhà riêng,50.0,9.0,4,3
Bắc Từ Liêm,Căn hộ chung cư,60.0,3.25,2,2
Hà Đông,Căn hộ chung cư,62.0,2.55,2,2
Bắc Từ Liêm,Căn hộ chung cư,67.0,4.15,2,2
Bắc Từ Liêm,Căn hộ chung cư,78.0,4.15,2,2
Hoàn Kiếm,Nhà mặt phố,95.0,68.0,2,3
Ba Đình,Căn hộ chung cư,110.0,15.0,3,2
Nam Từ Liêm,Nhà mặt phố,44.0,16.7,6,5
Ba Đình,Căn hộ chung cư,55.0,6.3,1,1
Thanh Xuân,Căn hộ chung cư,85.0,4.6,2,2
Hà Đông,Căn hộ chung cư,46.0,1.74,2,1
Nam Từ Liêm,Căn hộ chung cư,77.0,3.9,2,2
Hoàng Mai,Nhà riêng,43.0,5.3,3,4
Thanh Xuân,Căn hộ chung cư,70.0,3.6,3,2
Gia Lâm,Căn hộ chung cư,47.0,1.65,1,1
Hai Bà Trưng,Nhà riêng,60.0,8.25,3,3
Cầu Giấy,Nhà mặt phố,55.0,22.0,8,5
Thanh Trì,Căn hộ chung cư,78.0,2.89,2,2
Thanh Xuân,Căn hộ chung cư,52.0,765.0,2,2
Nam Từ Liêm,Nhà riêng,38.0,5.1,4,3
Gia Lâm,Căn hộ chung cư,68.0,2.3,2,2
Nam Từ Liêm,Căn hộ chung cư,54.0,4.95,2,2
Tây Hồ,Căn hộ chung cư,85.0,5.8,3,2
Nam Từ Liêm,Căn hộ chung cư,61.0,3.0,2,1
Gia Lâm,Căn hộ chung cư,60.0,2.0,2,1
Tây Hồ,Căn hộ chung cư,110.0,12.9,3,2
Cầu Giấy,Căn hộ chung cư,91.0,4.25,2,2
Hà Đông,Căn hộ chung cư,82.0,3.2,3,2
Nam Từ Liêm,Nhà riêng,155.0,35.0,37,37
Tây Hồ,Nhà riêng,50.0,12.5,5,5
Nam Từ Liêm,Căn hộ chung cư,114.0,7.0,3,2
Hai Bà Trưng,Căn hộ chung cư,67.0,5.45,2,2
Cầu Giấy,Căn hộ chung cư,101.0,6.5,3,2
Cầu Giấy,Nhà mặt phố,50.0,17.5,13,7
Nam Từ Liêm,Căn hộ chung cư,65.0,4.0,2,2
Đống Đa,Nhà riêng,22.0,2.5,1,1
Tây Hồ,Nhà riêng,47.0,4.3,3,3
Hà Đông,Nhà riêng,44.0,5.9,3,3
Nam Từ Liêm,Căn hộ chung cư,80.0,3.9,2,2
Hai Bà Trưng,Nhà mặt phố,50.0,35.0,6,6
Long Biên,Căn hộ chung cư,120.0,6.83,3,2
Long Biên,Nhà riêng,120.0,13.5,4,4
Cầu Giấy,Căn hộ chung cư,60.0,3.0,2,1
Long Biên,Nhà mặt phố,170.0,46.5,3,6
Hoài Đức,Căn hộ chung cư,109.0,4.5,3,2
Hà Đông,Nhà mặt phố,100.0,35.0,2,1
Nam Từ Liêm,Nhà riêng,35.0,3.9,4,4
Hà Đông,Nhà riêng,50.0,8.6,5,4
Thanh Xuân,Nhà riêng,45.0,10.5,11,11
Hà Đông,Nhà riêng,50.0,10.8,4,4
Tây Hồ,Nhà riêng,108.0,15.2,4,3
Bắc Từ Liêm,Nhà riêng,35.0,3.0,4,3
Tây Hồ,Nhà mặt phố,111.0,48.9,5,4
Nam Từ Liêm,Căn hộ chung cư,49.0,4.0,1,1
Gia Lâm,Căn hộ chung cư,60.0,2.1,2,1
Nam Từ Liêm,Căn hộ chung cư,63.0,5.0,2,2
Hà Đông,Căn hộ chung cư,60.0,2.28,2,1
Nam Từ Liêm,Căn hộ chung cư,98.0,5.2,3,2
Bắc Từ Liêm,Nhà riêng,32.0,4.0,3,3
Long Biên,Nhà mặt phố,66.0,7.5,2,2
Cầu Giấy,Căn hộ chung cư,148.0,6.78,4,4
Thanh Xuân,Căn hộ chung cư,97.0,6.0,3,2
Hà Đông,Căn hộ chung cư,130.0,4.71,3,2
Long Biên,Nhà riêng,40.0,3.9,6,4
Gia Lâm,Căn hộ chung cư,60.0,2.0,2,1
Gia Lâm,Căn hộ chung cư,47.0,1.59,1,1
Gia Lâm,Căn hộ chung cư,70.0,2.4,2,2
Long Biên,Nhà riêng,32.0,2.1,1,1
Cầu Giấy,Căn hộ chung cư,115.0,4.9,3,2
Gia Lâm,Căn hộ chung cư,80.0,2.8,3,2
Gia Lâm,Căn hộ chung cư,80.0,2.9,3,2
Tây Hồ,Nhà riêng,80.0,9.5,4,4
Gia Lâm,Căn hộ chung cư,31.0,1.2,1,1
Hà Đông,Căn hộ chung cư,146.0,4.8,3,3
Thanh Xuân,Căn hộ chung cư,77.0,4.3,2,2
Nam Từ Liêm,Căn hộ chung cư,94.0,4.4,3,2
Nam Từ Liêm,Căn hộ chung cư,55.0,2.85,2,2
Cầu Giấy,Căn hộ chung cư,97.0,5.55,2,2
Cầu Giấy,Căn hộ chung cư,68.0,4.0,2,2
Cầu Giấy,Căn hộ chung cư,76.0,5.4,2,2
Bắc Từ Liêm,Nhà riêng,35.0,4.5,3,4
Cầu Giấy,Nhà riêng,65.0,16.9,13,13
Nam Từ Liêm,Nhà riêng,35.0,3.8,4,4
Cầu Giấy,Căn hộ chung cư,98.0,6.3,2,2
Cầu Giấy,Căn hộ chung cư,76.0,6.1,2,2
Ba Đình,Căn hộ chung cư,50.0,2.2,2,1
Cầu Giấy,Căn hộ chung cư,117.0,8.7,3,2
Nam Từ Liêm,Căn hộ chung cư,83.0,4.6,2,2
Đống Đa,Căn hộ chung cư,83.0,3.35,2,2
Long Biên,Nhà riêng,50.0,4.2,3,3
Cầu Giấy,Nhà riêng,38.0,6.25,4,5
Ba Đình,Nhà mặt phố,130.0,65.0,14,15
Ba Đình,Nhà riêng,33.0,5.75,3,4
Gia Lâm,Căn hộ chung cư,68.0,2.35,2,2
Ba Đình,Nhà riêng,33.0,5.75,3,4
Cầu Giấy,Căn hộ chung cư,76.0,5.1,2,2
Long Biên,Nhà riêng,80.0,18.0,4,4
Long Biên,Nhà riêng,40.0,8.7,4,4
Hà Đông,Căn hộ chung cư,90.0,3.8,2,2
Tây Hồ,Nhà riêng,80.0,12.0,4,3
Cầu Giấy,Căn hộ chung cư,117.0,8.7,3,2
Cầu Giấy,Căn hộ chung cư,96.0,4.2,3,2
Cầu Giấy,Căn hộ chung cư,100.0,7.0,3,2
Thanh Xuân,Căn hộ chung cư,95.0,5.6,3,2
Thanh Xuân,Nhà riêng,40.0,4.99,4,3
Bắc Từ Liêm,Nhà riêng,35.0,3.75,3,4
Hà Đông,Căn hộ chung cư,56.0,2.5,2,2
Cầu Giấy,Căn hộ chung cư,116.0,6.96,3,2
Hà Đông,Nhà riêng,50.0,7.7,5,4
Bắc Từ Liêm,Căn hộ chung cư,78.0,3.2,2,2
Thanh Xuân,Nhà riêng,40.0,5.3,3,4
Bắc Từ Liêm,Căn hộ chung cư,55.0,1.8,1,1
Gia Lâm,Căn hộ chung cư,60.0,2.06,2,1
Bắc Từ Liêm,Căn hộ chung cư,80.0,3.4,2,2
Thanh Xuân,Nhà riêng,38.0,5.85,6,5
Ba Đình,Nhà riêng,30.0,5.9,5,4
Bắc Từ Liêm,Nhà riêng,35.0,3.75,3,4
Gia Lâm,Căn hộ chung cư,46.0,1.65,1,1
Hà Đông,Căn hộ chung cư,67.0,2.25,2,2
Cầu Giấy,Nhà mặt phố,200.0,145.0,2,10
Nam Từ Liêm,Căn hộ chung cư,127.0,6.0,3,2
Thanh Xuân,Căn hộ chung cư,67.0,3.4,2,2
Hà Đông,Căn hộ chung cư,101.0,3.35,3,2
Thanh Xuân,Căn hộ chung cư,89.0,4.1,3,2
Hà Đông,Nhà riêng,33.0,2.42,3,3
Hà Đông,Căn hộ chung cư,97.0,3.9,4,2
Nam Từ Liêm,Nhà riêng,32.0,3.85,3,4
Long Biên,Nhà riêng,35.0,4.0,3,3
Thanh Xuân,Căn hộ chung cư,122.0,6.9,3,2
Cầu Giấy,Căn hộ chung cư,117.0,6.2,2,2
Hà Đông,Căn hộ chung cư,56.0,1.87,2,1
Hai Bà Trưng,Căn hộ chung cư,154.0,9.8,4,3
Hai Bà Trưng,Căn hộ chung cư,82.0,4.5,2,2
Long Biên,Nhà riêng,59.0,4.15,3,3
Hoàn Kiếm,Căn hộ chung cư,35.0,2.2,2,1
Nam Từ Liêm,Căn hộ chung cư,84.0,3.8,2,2
Hai Bà Trưng,Căn hộ chung cư,53.0,3.1,1,1
Ba Đình,Nhà riêng,39.0,9.5,4,3
Đống Đa,Nhà riêng,39.0,5.3,6,6
Hà Đông,Nhà riêng,40.0,7.0,3,3
Ba Đình,Nhà riêng,90.0,26.0,5,5
Hai Bà Trưng,Căn hộ chung cư,80.0,5.35,2,2
Gia Lâm,Căn hộ chung cư,70.0,2.45,2,2
Nam Từ Liêm,Căn hộ chung cư,54.0,3.7,2,2
Hoàng Mai,Căn hộ chung cư,83.0,2.4,3,2
Gia Lâm,Căn hộ chung cư,68.0,2.53,2,2
Thanh Trì,Căn hộ chung cư,39.0,1.2,1,1
Tây Hồ,Nhà riêng,125.0,39.0,4,5
Hoàng Mai,Căn hộ chung cư,72.0,2.6,2,2
Hà Đông,Nhà riêng,35.0,2.13,3,3
Hoàng Mai,Căn hộ chung cư,45.0,1.5,1,1
Bắc Từ Liêm,Căn hộ chung cư,94.0,5.3,3,2
Ba Đình,Nhà riêng,62.0,13.5,3,3
Hà Đông,Nhà riêng,32.0,1.86,3,3
Hà Đông,Nhà riêng,48.0,7.9,4,4
